,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
433,Dirk Nowitzki,2011-12,33,DAL,NBA,7.6,62,62,2079,473,1034,395,822,78,212,318,355,46,372,418,136,42,30,117,129,1342,0.457,0.481,0.368,0.495,0.896,0.564
434,Isiah Thomas,1986-87,25,DET,NBA,7.6,81,81,3013,626,1353,607,1255,19,98,400,521,82,237,319,813,153,20,343,251,1671,0.463,0.484,0.194,0.47,0.768,0.528
435,LaMarcus Aldridge,2013-14,28,POR,NBA,7.5,69,69,2498,652,1423,649,1408,3,15,296,360,166,599,765,178,63,68,123,147,1603,0.458,0.461,0.2,0.459,0.822,0.507
436,Andrew Bogut,2009-10,25,MIL,NBA,7.5,69,69,2229,473,910,473,908,0,2,149,237,208,493,701,127,39,175,131,222,1095,0.52,0.521,0,0.52,0.629,0.54
437,Baron Davis,2003-04,24,NOH,NBA,7.5,67,66,2686,554,1402,367,820,187,582,237,352,66,221,287,501,158,27,215,178,1532,0.395,0.448,0.321,0.462,0.673,0.492
438,Tim Hardaway,1992-93,26,GSW,NBA,7.5,66,66,2609,522,1168,420,859,102,309,273,367,60,203,263,699,116,12,220,152,1419,0.447,0.489,0.33,0.491,0.744,0.534
439,Andre Drummond,2015-16,22,DET,NBA,7.4,81,81,2666,552,1060,550,1054,2,6,208,586,395,803,1198,67,119,112,155,245,1314,0.521,0.522,0.333,0.522,0.355,0.499
440,Stephon Marbury,1999-00,22,NJN,NBA,7.4,74,74,2881,569,1317,503,1084,66,233,436,536,61,179,240,622,112,15,270,195,1640,0.432,0.464,0.283,0.457,0.813,0.528
441,Yao Ming,2006-07,26,HOU,NBA,7.4,48,48,1624,423,819,423,817,0,2,356,413,101,351,452,94,17,94,167,159,1202,0.516,0.518,0,0.516,0.862,0.601
442,Carmelo Anthony,2006-07,22,DEN,NBA,7.3,65,65,2486,691,1453,651,1304,40,149,459,568,143,248,391,249,77,23,234,203,1881,0.476,0.499,0.268,0.489,0.808,0.552
443,Grant Hill,1998-99,26,DET,NBA,7.3,50,50,1852,384,802,384,788,0,14,285,379,65,290,355,300,80,27,184,114,1053,0.479,0.487,0,0.479,0.752,0.543
444,Allen Iverson,1998-99,23,PHI,NBA,7.2,48,48,1990,435,1056,377,857,58,199,356,474,66,170,236,223,110,7,167,98,1284,0.412,0.44,0.291,0.439,0.751,0.508
445,Jason Kidd,2003-04,30,NJN,NBA,7.2,67,66,2450,368,959,274,666,94,293,206,249,85,343,428,618,122,14,214,110,1036,0.384,0.411,0.321,0.433,0.827,0.485
446,Gary Payton,1998-99,30,SEA,NBA,7.2,50,50,2008,401,923,318,642,83,281,199,276,62,182,244,436,109,12,154,115,1084,0.434,0.495,0.295,0.479,0.721,0.519
447,Bernard King,1984-85,28,NYK,NBA,7.1,55,55,2063,691,1303,690,1293,1,10,426,552,114,203,317,204,71,15,204,191,1809,0.53,0.534,0.1,0.531,0.772,0.585
448,Tony Parker,2011-12,29,SAS,NBA,7.1,60,60,1923,427,890,413,829,14,61,227,284,22,149,171,463,57,5,153,75,1095,0.48,0.498,0.23,0.488,0.799,0.539
449,Allen Iverson,1999-00,24,PHI,NBA,6.9,70,70,2853,729,1733,640,1472,89,261,442,620,71,196,267,328,144,5,230,162,1989,0.421,0.435,0.341,0.446,0.713,0.496
450,Allen Iverson,2001-02,26,PHI,NBA,6.9,60,59,2622,665,1669,587,1401,78,268,475,585,44,225,269,331,168,13,237,102,1883,0.398,0.419,0.291,0.422,0.812,0.489
451,Shaquille O'Neal,1995-96,23,ORL,NBA,6.9,54,52,1946,592,1033,591,1031,1,2,249,511,182,414,596,155,34,115,155,193,1434,0.573,0.573,0.5,0.574,0.487,0.57
452,Chris Webber,2002-03,29,SAC,NBA,6.9,67,67,2622,661,1433,656,1412,5,21,215,354,160,544,704,364,106,88,215,204,1542,0.461,0.465,0.238,0.463,0.607,0.485
453,Scottie Pippen,1997-98,32,CHI,NBA,6.6,44,44,1652,315,704,254,512,61,192,150,193,53,174,227,254,79,43,109,116,841,0.447,0.496,0.318,0.491,0.777,0.533
454,Hakeem Olajuwon,1998-99,36,HOU,NBA,6.5,50,50,1784,373,725,369,712,4,13,195,272,106,372,478,88,82,123,139,160,945,0.514,0.518,0.308,0.517,0.717,0.559
455,Jermaine O'Neal,2001-02,23,IND,NBA,6.4,72,72,2707,543,1133,542,1119,1,14,284,413,188,569,757,118,45,166,174,269,1371,0.479,0.484,0.071,0.48,0.688,0.521
456,Mitch Richmond,1993-94,28,SAC,NBA,6.4,78,78,2897,635,1428,508,1116,127,312,426,511,70,216,286,313,103,17,216,211,1823,0.445,0.455,0.407,0.489,0.834,0.551
457,John Stockton,1998-99,36,UTA,NBA,6.4,50,50,1410,200,410,184,360,16,50,137,169,31,115,146,374,81,13,110,107,553,0.488,0.511,0.32,0.507,0.811,0.571
458,Carmelo Anthony,2011-12,27,NYK,NBA,6.2,55,55,1876,441,1025,373,822,68,203,295,367,88,256,344,200,62,24,144,156,1245,0.43,0.454,0.335,0.463,0.804,0.525
459,Kobe Bryant,2011-12,33,LAL,NBA,6.2,58,58,2232,574,1336,487,1049,87,287,381,451,66,247,313,264,69,18,204,105,1616,0.43,0.464,0.303,0.462,0.845,0.527
460,Shaquille O'Neal,2005-06,33,MIA,NBA,6.2,59,58,1806,480,800,480,800,0,0,221,471,172,369,541,113,23,104,168,230,1181,0.6,0.6,,0.6,0.469,0.586
461,Ralph Sampson,1984-85,24,HOU,NBA,6.2,82,82,3086,753,1499,753,1493,0,6,303,448,227,626,853,224,81,168,326,306,1809,0.502,0.504,0,0.502,0.676,0.533
462,DeMarcus Cousins,2014-15,24,SAC,NBA,6,59,59,2013,498,1066,496,1058,2,8,423,541,185,562,747,210,90,103,254,241,1421,0.467,0.469,0.25,0.468,0.782,0.545
463,Tony Parker,2013-14,31,SAS,NBA,5.9,68,68,1997,456,914,431,847,25,67,197,243,17,138,155,388,36,9,151,86,1134,0.499,0.509,0.373,0.513,0.811,0.555
464,Tracy McGrady,2007-08,28,HOU,NBA,5.8,66,62,2440,548,1307,462,1012,86,295,245,358,42,297,339,387,68,30,160,91,1427,0.419,0.457,0.292,0.452,0.684,0.487
465,Dennis Rodman,1994-95,33,SAS,NBA,5.8,49,26,1568,137,240,137,238,0,2,75,111,274,549,823,97,31,23,98,159,349,0.571,0.576,0,0.571,0.676,0.604
466,DeMarcus Cousins,2015-16,25,SAC,NBA,5.7,65,65,2246,601,1332,531,1122,70,210,476,663,158,589,747,214,101,92,249,236,1748,0.451,0.473,0.333,0.477,0.718,0.538
467,Juwan Howard,1995-96,22,WSB,NBA,5.6,81,81,3294,733,1500,729,1487,4,13,319,426,188,472,660,360,67,39,303,269,1789,0.489,0.49,0.308,0.49,0.749,0.53
468,Kevin Garnett,1998-99,22,MIN,NBA,5.4,47,47,1780,414,900,410,886,4,14,145,206,166,323,489,202,78,83,135,152,977,0.46,0.463,0.286,0.462,0.704,0.493
469,Tim Hardaway,1998-99,32,MIA,NBA,5.4,48,48,1772,301,752,189,441,112,311,121,149,15,137,152,352,57,6,131,102,835,0.4,0.429,0.36,0.475,0.812,0.511
470,Kobe Bryant,1998-99,20,LAL,NBA,5.2,50,50,1896,362,779,335,678,27,101,245,292,53,211,264,190,72,50,157,153,996,0.465,0.494,0.267,0.482,0.839,0.549
471,Carmelo Anthony,2008-09,24,DEN,NBA,5,66,66,2277,535,1207,472,1037,63,170,371,468,106,344,450,222,75,24,199,195,1504,0.443,0.455,0.371,0.469,0.793,0.532
472,Rajon Rondo,2011-12,25,BOS,NBA,4.9,53,53,1957,256,572,246,530,10,42,108,181,62,195,257,620,95,3,193,99,630,0.448,0.464,0.238,0.456,0.597,0.483
473,Antonio McDyess,1998-99,24,DEN,NBA,4.2,50,50,1937,415,882,414,873,1,9,230,338,168,369,537,82,73,115,138,175,1061,0.471,0.474,0.111,0.471,0.68,0.515
474,Chris Webber,1998-99,25,SAC,NBA,3.6,42,42,1719,378,778,374,744,4,34,79,174,149,396,545,173,60,89,148,145,839,0.486,0.503,0.118,0.488,0.454,0.491
475,Bernard King,1990-91,34,WSB,NBA,3.5,64,64,2401,713,1511,705,1474,8,37,383,485,114,205,319,292,56,16,255,187,1817,0.472,0.478,0.216,0.475,0.79,0.527
